用語,科目,出題回数（11回中）,解説
氷粒子,一般知識,6,氷粒子は、氷晶、雪結晶、雪片、あられなど固体の水からなる雲・降水粒子の総称である。昇華、雲粒捕捉、集合などで成長する。
窒素,一般知識,6,窒素は乾燥空気で最も多い気体で、体積比は約78%である。大気の主要成分として酸素やアルゴンとの割合が問われる。
融解,一般知識,6,融解は、氷や雪が液体の水へ変化する相変化である。周囲から融解熱を吸収するため、融解層では空気の冷却が起こる。
過冷却水滴,一般知識,6,過冷却水滴は、0°C未満でも凍結せず液体のまま存在する水滴である。氷粒子との共存は冷たい雨の成長過程で重要となる。
酸素,一般知識,6,酸素は乾燥空気で2番目に多い気体で、体積比は約21%である。紫外線を吸収してオゾン生成にも関与する。
降水,一般知識,6,降水は、雨、雪、あられ、ひょうなどが大気中から落下する現象またはその生成物である。液体と固体の両方を含む。
アルベド,一般知識,5,アルベドは、入射した短波放射に対する反射された短波放射の割合である。雪氷や厚い雲では大きく、海面では一般に小さい。
エーロゾル,一般知識,5,エーロゾルは、大気中に浮遊する固体または液体の微粒子である。雲凝結核や氷晶核となるほか、放射の散乱・吸収にも関与する。
コリオリパラメータ,一般知識,5,コリオリパラメータは、コリオリ力の強さを表す緯度依存の係数である。赤道で0となり、極へ向かうほど絶対値が大きくなる。
ハドレー循環,一般知識,5,ハドレー循環は、熱帯の上昇、亜熱帯の下降、下層の貿易風からなる南北循環である。熱や角運動量の輸送に重要である。
プラネタリー波,一般知識,5,プラネタリー波は、地球規模の非常に長い波長をもつ大気の波動である。対流圏から成層圏へ伝播し、成層圏突然昇温にも関与する。
メタン,一般知識,5,メタンは、二酸化炭素より濃度は低いが強い温室効果をもつ気体である。湿地、化石燃料、家畜、永久凍土などが発生源となる。
上昇流,一般知識,5,上昇流は、空気が上向きに移動する流れである。上昇する空気は膨張して冷却され、飽和すれば雲や降水を生じる。
成層圏界面,一般知識,5,成層圏界面は成層圏と中間圏の境界で、気温が極大となる付近にある。オゾンによる加熱が成層圏の温度構造をつくる。
気圧傾度力,一般知識,5,気圧傾度力は、気圧差によって高圧側から低圧側へ働く力である。等圧線の間隔が狭いほど一般に大きい。
氷晶,一般知識,5,氷晶は、雲内に存在する微小な氷の結晶である。水滴との飽和水蒸気圧の差を利用して昇華成長する。
温位,一般知識,5,温位は、空気塊を乾燥断熱的に1000hPaまで移したときの温度である。乾燥断熱変化では保存され、鉛直安定度の判定にも使う。
湿潤断熱減率,一般知識,5,湿潤断熱減率は、飽和空気塊が上昇するときの気温低下率である。凝結熱が放出されるため乾燥断熱減率より小さく、温度や気圧で変わる。
警報,一般知識,5,警報は、重大な災害が起こるおそれがある場合に気象庁が発表する情報である。種類、発表区域、通知経路が法令で定められる。
長波放射,一般知識,5,長波放射は、主に地表面や大気が放出する赤外域の放射である。水蒸気や二酸化炭素などに吸収・再放射される。
高潮,一般知識,5,高潮は、台風や低気圧による吸い上げと強風による吹き寄せで潮位が高くなる現象である。満潮と重なると浸水被害が大きくなりやすい。
コリオリ力,一般知識,4,コリオリ力は、地球の自転する座標系で運動する物体に見かけ上働く力である。北半球では運動方向の右向き、南半球では左向きに働く。
中間圏,一般知識,4,中間圏は成層圏界面から中間圏界面までの層で、気温は高度とともに低下する。中間圏界面付近は大気中で最も低温となる。
地域防災計画,一般知識,4,地域防災計画は、地方公共団体の防災会議が地域の実情に応じて作成する計画である。災害予防、応急対策、復旧などを定める。
地球温暖化,一般知識,4,地球温暖化は、世界平均気温が長期的に上昇する現象である。近年は人為起源の温室効果気体増加が主要因となっている。
成層圏突然昇温,一般知識,4,成層圏突然昇温は、冬季の極域成層圏で短期間に著しく昇温し、西風が弱化または逆転する現象である。プラネタリー波の作用と下降流の断熱昇温が重要である。
放射平衡,一般知識,4,放射平衡は、吸収する放射エネルギーと放出する放射エネルギーが釣り合う状態である。地球の有効放射温度の計算に用いる。
散乱,一般知識,4,散乱は、電磁波が粒子や密度の揺らぎによって進行方向を変える現象である。衛星、レーダー、放射収支の各分野で現れる。
気圧の谷,一般知識,4,気圧の谷は、周囲より気圧または等圧面高度が低い領域が細長く延びた部分である。上空の谷の前面では上昇流や地上低気圧の発達が起こりやすい。
気象測器,一般知識,4,気象測器は、気圧、気温、湿度、風、降水量などを測る器具である。公共的な観測などに使用する測器には検定が必要な場合がある。
気象観測,一般知識,4,気象観測は、自然科学的方法によって大気の諸現象を観察・測定することである。一定の観測には届出や技術上の基準が適用される。
水溶性エーロゾル,一般知識,4,水溶性エーロゾルは、水に溶けやすい大気中の微粒子である。溶質効果により純水滴より低い湿度でも雲粒を形成しやすい。
波浪,一般知識,4,波浪は、海面に生じる波の総称で、主に風によって発生・発達する。高波による災害のおそれがあると波浪警報などが発表される。
津波,一般知識,4,津波は、海底の急激な変動などによって生じる長周期の波である。気象業務法や水防法では予報、警報、通知の対象として扱われる。
温帯低気圧,一般知識,4,温帯低気圧は、中緯度の水平温度傾度をエネルギー源として発達する低気圧である。温暖前線や寒冷前線を伴う。
温度計,一般知識,4,温度計は、気温などの温度を測定する測器である。地上観測では日射や地面の影響を避け、通風条件を整える。
潜熱,一般知識,4,潜熱は、相変化の際に温度変化を伴わず出入りする熱である。水蒸気の凝結では放出され、蒸発では吸収される。
熱輸送,一般知識,4,熱輸送は、風や渦などによって熱エネルギーが別の場所へ運ばれることをいう。顕熱輸送と水蒸気に伴う潜熱輸送に分けて考える。
特別警報,一般知識,4,特別警報は、重大な災害の危険が著しく高まっている場合に発表される。警報との基準や通知義務の違いが問われる。
空気塊,一般知識,4,空気塊は、周囲との混合を無視して一まとまりとして扱う仮想的な空気である。上昇・下降時の断熱変化や安定度の判定に用いる。
過飽和度,一般知識,4,過飽和度は、実際の水蒸気圧が飽和水蒸気圧をどれだけ上回るかを表す量である。雲粒や氷晶の成長速度に影響する。
エルニーニョ現象,一般知識,3,エルニーニョ現象は、太平洋赤道域中部から東部の海面水温が平年より高い状態が続く現象である。ウォーカー循環や世界各地の天候へ影響する。
下降流域,一般知識,3,下降流域は、鉛直流が下向きとなっている領域である。晴天域や高気圧、積乱雲内の冷気外出流などと結び付くことがある。
中間圏界面,一般知識,3,中間圏界面は中間圏と熱圏の境界で、高度約80km付近にある。気温はこの付近で極小となる。
乾燥空気,一般知識,3,乾燥空気は、水蒸気を除いた空気である。主成分は窒素と酸素で、高度約80kmまでは混合比がほぼ一定である。
予報業務許可事業者,一般知識,3,予報業務許可事業者は、気象庁長官の許可を受けて予報業務を行う者である。業務内容に応じて気象予報士の配置や記録保存が必要となる。
収束,一般知識,3,収束は、水平風によって空気が周囲から集まる状態である。質量保存により、下層の収束域では上昇流が生じやすい。
地衡風平衡,一般知識,3,地衡風平衡は、水平気圧傾度力とコリオリ力が釣り合った状態である。摩擦や曲率の影響が小さい自由大気でよい近似となる。
大気境界層,一般知識,3,大気境界層は、地表面の摩擦や加熱・冷却の影響を直接受ける大気下層である。日中と夜間で厚さや成層が大きく変化する。
持ち上げ凝結高度,一般知識,3,持ち上げ凝結高度は、未飽和空気塊を持ち上げたとき飽和に達する高度である。対流雲の雲底高度の目安となる。
放射収支,一般知識,3,放射収支は、ある面に入る放射量と出る放射量の差である。大気上端や地表面の加熱・冷却を評価する。
断熱圧縮,一般知識,3,断熱圧縮は、外部との熱交換なしに気体が圧縮される変化である。下降する空気塊は気圧上昇に伴って圧縮され、気温が上がる。
断熱膨張,一般知識,3,断熱膨張は、外部との熱交換なしに気体が膨張する変化である。上昇する空気塊は気圧低下に伴って膨張し、気温が下がる。
昇華,一般知識,3,昇華は、固体と気体の間で液体を経ずに起こる相変化である。氷晶の成長では水蒸気が氷面へ直接付着する。
気温減率,一般知識,3,気温減率は、高度の増加に対する周囲の気温低下率である。乾燥断熱減率や湿潤断熱減率との比較から大気の安定度を判断する。
氷晶核,一般知識,3,氷晶核は、過冷却雲内で氷晶の生成を助ける粒子である。雲凝結核より数が少なく、作用する温度や生成様式が異なる。
洪水,一般知識,3,洪水は、河川の水位や流量が著しく増加し、氾濫などのおそれが生じる現象である。気象警報、洪水予報、水防活動の対象となる。
海面水温,一般知識,3,海面水温は、海洋表面付近の水温である。熱帯低気圧の発達、海霧、季節予報、海洋と大気の相互作用に関係する。
渦度,一般知識,3,渦度は、流体の局所的な回転の強さを表す量である。天気図では低気圧性・高気圧性の回転や上昇流との関係を考える。
温室効果気体,一般知識,3,温室効果気体は、地球放射を吸収・放出する気体である。水蒸気、二酸化炭素、メタン、フロン類などが含まれる。
温度傾度,一般知識,3,温度傾度は、距離に対する温度の変化率である。水平温度傾度は温度風や前線帯の強さ、傾圧性を表す。
温度風,一般知識,3,温度風は、二つの気圧面における地衡風の差を表すベクトルである。北半球では温度風の右側が暖気側となる。
潜熱輸送,一般知識,3,潜熱輸送は、水蒸気が保持する潜熱の輸送である。水蒸気が移動先で凝結すると潜熱が放出される。
災害対策本部,一般知識,3,災害対策本部は、災害時に応急対策を総合的に進めるため国や地方公共団体が設置する組織である。設置主体や要件は災害の規模と法令で異なる。
登録検定機関,一般知識,3,登録検定機関は、気象測器の検定業務を行うため気象庁長官の登録を受けた機関である。登録要件や検定業務の実施方法が定められている。
相当温位,一般知識,3,相当温位は、空気塊中の水蒸気をすべて凝結させた後、乾燥断熱的に1000hPaへ移したときの温度である。暖湿気の指標として用いられる。
等圧面,一般知識,3,等圧面は、気圧が同じ地点を結んでできる三次元の面である。高層天気図では、その面の高度や気温、風などを表示する。
等高度線,一般知識,3,等高度線は、等圧面上でジオポテンシャル高度が等しい地点を結んだ線である。その間隔や曲率から上空の気圧傾度や流れを読む。
鉛直流,一般知識,3,鉛直流は、空気の上昇または下降という鉛直方向の運動である。雲や降水の形成、断熱昇温・冷却を左右する。
雨量計,一般知識,3,雨量計は、地上に到達した降水量を測る測器である。風による捕捉損失や固体降水の測定条件に注意する。
雪結晶,一般知識,3,雪結晶は、雲内で水蒸気が氷晶へ昇華して成長した結晶である。形状は主に気温と氷に対する過飽和度で変化する。
雲粒,一般知識,3,雲粒は、雲を構成する微小な水滴である。衝突・併合や氷粒子による捕捉を経て降水粒子へ成長する。
露点温度,一般知識,3,露点温度は、水蒸気量を変えずに空気を冷却したとき飽和に達する温度である。気温との差が小さいほど飽和に近い。
顕熱輸送,一般知識,3,顕熱輸送は、空気の温度差に伴って運ばれる熱の輸送である。中緯度では温帯低気圧などの擾乱が極向き輸送を担う。
飽和混合比,一般知識,3,飽和混合比は、空気が飽和したときの水蒸気混合比である。温度が高いほど大きく、同じ温度では気圧が低いほど大きい。
あられ,一般知識,2,あられは、雪結晶や氷晶が過冷却雲粒を付着させて成長した白色不透明な氷粒である。積乱雲など対流の強い雲から降ることが多い。
アルゴン,一般知識,2,アルゴンは乾燥空気で窒素、酸素に次いで多い希ガスである。体積比は約0.93%で、二酸化炭素より多い。
ウォーカー循環,一般知識,2,ウォーカー循環は、赤道太平洋を中心とする東西方向の大気循環である。エルニーニョ時には通常より弱まる。
ガストフロント,一般知識,2,ガストフロントは、積乱雲からの冷たい下降気流が地表面へ広がる先端部である。通過時に風向・風速の急変や気温低下が起こる。
スペクトル,一般知識,2,スペクトルは、放射エネルギーや信号を波長または周波数ごとに表した分布である。放射源の温度や吸収気体の性質を読み取れる。
フロン,一般知識,2,フロンは、炭素、フッ素、塩素などからなる人工化合物の総称である。一部は成層圏オゾンを破壊し、強い温室効果ももつ。
一般風,一般知識,2,一般風は、局地的な地形や熱的循環より広い場を代表する風である。海陸風や山谷風を考えるとき、その背景風として扱う。
中央防災会議,一般知識,2,中央防災会議は、国の防災政策の重要事項を審議し、防災基本計画を作成する機関である。災害や対策の実績を踏まえて計画を検討する。
仮温度,一般知識,2,仮温度は、湿潤空気と同じ密度をもつ乾燥空気の温度である。同じ気圧と気温なら、水蒸気を多く含む空気ほど仮温度が高い。
体積比,一般知識,2,体積比は、混合気体の全体積に対して各成分が占める体積の割合である。乾燥空気の窒素、酸素、アルゴンなどの組成表示に用いる。
偏西風,一般知識,2,偏西風は、中緯度で西から東へ卓越する風である。上空ではジェット気流を伴い、温帯低気圧やプラネタリー波の移動に関係する。
傾圧不安定波,一般知識,2,傾圧不安定波は、水平温度傾度をもつ中緯度偏西風帯で発達する波動である。温帯低気圧の発達と南北熱輸送を担う。
傾度風平衡,一般知識,2,傾度風平衡は、曲線運動する空気に働く気圧傾度力、コリオリ力、遠心力が釣り合う状態である。台風など曲率の大きい流れの理解に用いる。
凍結,一般知識,2,凍結は、液体の水が固体の氷へ変化する相変化である。純水滴は0℃未満でも過冷却状態を保つことがある。
可視光線,一般知識,2,可視光線は、人の目で見える波長域の電磁波である。太陽放射のエネルギーの大きな部分を占める。
台風,一般知識,2,台風は、北西太平洋または南シナ海に存在し、最大風速が所定の基準以上となった熱帯低気圧である。進路、強度、暴風域などの情報が発表される。
地象,一般知識,2,地象は、気象業務法上、地震および火山現象ならびに気象に密接に関連する地面・地中の諸現象をいう。一般語より法令上の範囲に注意する。
地震動,一般知識,2,地震動は、地震によって地面が揺れる現象である。気象業務法上の地象に含まれ、一般向けの予報・警報の対象規定で区別される。
大気の状態方程式,一般知識,2,大気の状態方程式は、気圧、密度、温度を結ぶ関係である。湿潤空気では仮温度を用いると乾燥空気と同じ形で扱える。
定圧比熱,一般知識,2,定圧比熱は、圧力を一定に保ったまま単位質量の物質を1K昇温するのに必要な熱量である。大気の熱力学式や乾燥断熱減率に現れる。
寒気移流,一般知識,2,寒気移流は、風によって低温の空気が流入し、ある地点の気温を下げる向きに働く輸送である。風向と等温線の交差から判断できる。
接地境界層,一般知識,2,接地境界層は、大気境界層の最下部で地表面フラックスが大きく変化しない層である。風速、気温、水蒸気量には大きな鉛直勾配が生じる。
摩擦力,一般知識,2,摩擦力は、地表面や流体内部の摩擦によって空気の運動を妨げる力である。地表付近では風を弱め、風向を等圧線に交差させる。
放射平衡温度,一般知識,2,放射平衡温度は、吸収する太陽放射と放出する長波放射が釣り合うと仮定した温度である。太陽定数、アルベド、放射法則から求める。
暖かい雨,一般知識,2,暖かい雨は、氷相を経ずに雲粒の衝突・併合で雨滴が成長する降水過程である。主に0℃以上の雲、特に海洋性の雲で働きやすい。
条件付き不安定,一般知識,2,条件付き不安定は、未飽和空気塊には安定だが、飽和空気塊には不安定となる成層である。環境の気温減率が湿潤断熱減率と乾燥断熱減率の間にある。
極渦,一般知識,2,極渦は、冬半球の極域上空に形成される大規模な低気圧性循環である。成層圏突然昇温では変形、分裂、弱化することがある。
欠格事由,一般知識,2,欠格事由は、法律上の許可や登録を受けられない条件である。気象予報士の登録や予報業務の許可では、該当の有無と経過期間が問われる。
気体定数,一般知識,2,気体定数は、気体の状態方程式に現れる比例定数である。乾燥空気、水蒸気、湿潤空気では用いる値や表し方が異なる。
気候変動,一般知識,2,気候変動は、気温や降水などの気候状態が長期的に変化することである。自然要因と人為起源の要因の両方が関係する。
気圧計,一般知識,2,気圧計は、大気の圧力を測定する測器である。観測値は海面更正などの処理を経て天気図に利用される。
気柱,一般知識,2,気柱は、ある面積の上に鉛直に存在する柱状の大気である。地上気圧は、その上にある気柱の単位面積当たりの重量に対応する。
気象測器の検定,一般知識,2,気象測器の検定は、測器の構造や器差が基準に適合するかを確認する制度である。対象測器、有効期間、登録検定機関が問われる。
永久凍土,一般知識,2,永久凍土は、少なくとも2年以上連続して0℃以下にある地盤である。温暖化で融解すると、メタンや二酸化炭素の放出が増える可能性がある。
海陸風,一般知識,2,海陸風は、陸と海の加熱・冷却速度の差によって生じる局地循環である。日中は海風、夜間は陸風が卓越する。
海面気圧,一般知識,2,海面気圧は、観測地点の気圧を平均海面の高さへ更正した値である。標高の異なる地点どうしの気圧分布を比較するために用いる。
海風,一般知識,2,海風は、日中に比較的冷たい海上から暖められた陸上へ吹く風である。先端の海風前線では収束や対流が強まることがある。
湿球温度,一般知識,2,湿球温度は、湿球からの蒸発による冷却を反映した温度である。通常は気温以下、露点温度以上となり、飽和時には三者が一致する。
短波放射,一般知識,2,短波放射は、主に太陽起源の比較的短い波長の放射である。大気や地表で吸収、散乱、反射される。
落下速度,一般知識,2,落下速度は、雲粒や降水粒子が空気中を落下する速さである。粒子の大きさ、形、密度と空気抵抗によって決まる。
観測施設,一般知識,2,観測施設は、気象観測を行うために設置された測器や付帯設備である。目的や観測成果の発表方法により、届出や技術基準の適用が異なる。
遠心力,一般知識,2,遠心力は、曲線運動を回転座標系で扱うとき外向きに現れる見かけの力である。傾度風平衡では気圧傾度力やコリオリ力との釣り合いに含まれる。
防災基本計画,一般知識,2,防災基本計画は、中央防災会議が作成する国の防災に関する基本的な計画である。地域防災計画や防災業務計画の基礎となる。
雨滴,一般知識,2,雨滴は、雲粒より大きく、落下して地上へ達する液体の降水粒子である。大きくなるほど落下速度が増すが、一定以上では変形や分裂が起こる。
雪片,一般知識,2,雪片は、複数の雪結晶が付着・集合した降水粒子である。融解途中ではレーダー反射が強くなることがある。
電離層,一般知識,2,電離層は太陽放射によって大気分子が電離している上層大気の領域である。気象業務法上の「気象」の対象からは除かれる。
風速計,一般知識,2,風速計は、空気の流れの速さを測る測器である。風車型や超音波式などがあり、設置高度や周囲の障害物が観測値に影響する。
アーク雲,一般知識,1,アーク雲は、積乱雲から広がる冷気外出流の先端付近にできる弧状の雲である。ガストフロントの通過や突風の目印となる。
オゾンホール,一般知識,1,オゾンホールは、南極上空で春季に成層圏オゾンが著しく減少する現象である。極域成層圏雲と塩素化合物による反応が深く関係する。
ジェット気流,一般知識,1,ジェット気流は、対流圏上部付近にある強い西風の帯である。寒帯前線ジェットと亜熱帯ジェットが代表的である。
スーパーセル,一般知識,1,スーパーセルは、長時間持続する回転性上昇流をもつ組織化された積乱雲である。大きなひょう、竜巻、激しい突風を伴うことがある。
ダウンバースト,一般知識,1,ダウンバーストは、積乱雲からの強い下降気流が地面へ衝突して放射状に広がる突風である。被害域の風向分布は発散的になりやすい。
ハロカーボン,一般知識,1,ハロカーボンは、炭素とハロゲン元素を含む化合物の総称である。フロン類を含み、オゾン層破壊や温室効果に関与するものがある。
フェレル循環,一般知識,1,フェレル循環は、中緯度で見られる間接循環である。温帯低気圧などの擾乱による熱・運動量輸送の平均として維持される。
フックエコー,一般知識,1,フックエコーは、スーパーセルのレーダー反射強度分布に現れる鉤状のエコーである。メソサイクロンや竜巻発生と関連することがある。
ブロッキング,一般知識,1,ブロッキングは、偏西風の大きな蛇行が長期間維持され、移動性高低気圧の進行を妨げる現象である。高温、低温、少雨、多雨の持続要因となる。
プランクの法則,一般知識,1,プランクの法則は、黒体放射のエネルギーの波長分布を表す法則である。物体の温度が高いほど放射強度が増し、ピーク波長は短くなる。
マルチセル,一般知識,1,マルチセルは、発達段階の異なる複数の対流セルから構成される積乱雲群である。新しいセルが次々に形成されることで活動が持続する。
メソ対流系,一般知識,1,メソ対流系は、複数の積乱雲が組織化したメソスケールの対流システムである。鉛直シアーや冷気外出流が維持と世代交代に関係する。
レーダー反射強度,一般知識,1,レーダー反射強度は、降水粒子などから戻る電波の強さを表す観測量である。粒子の大きさ、数、相によって変化する。
上層雲,一般知識,1,上層雲は、対流圏の高い高度に雲底をもつ雲の総称である。巻雲、巻層雲、巻積雲が含まれ、氷晶を主成分とすることが多い。
上昇流域,一般知識,1,上昇流域は、鉛直流が上向きとなっている領域である。雲・降水域や発達中の低気圧、対流活動との対応を確認する。
下層雲,一般知識,1,下層雲は、低い高度に雲底をもつ雲の総称である。層雲、層積雲などが含まれ、地表付近の天気に直結しやすい。
亜熱帯ジェット気流,一般知識,1,亜熱帯ジェット気流は、ハドレー循環の極側上空に形成される強い西風帯である。一般に寒帯前線ジェットより高高度・低緯度側に位置する。
亜硫酸ガス,一般知識,1,亜硫酸ガスは、火山噴火などで大気中へ放出される二酸化硫黄である。成層圏で硫酸エーロゾルへ変化すると太陽放射を散乱し、地表を冷却し得る。
傾度風,一般知識,1,傾度風は、曲率をもつ流れで気圧傾度力、コリオリ力、遠心力が釣り合った風である。低気圧性と高気圧性の循環で地衡風との大小関係が異なる。
冷たい雨,一般知識,1,冷たい雨は、氷晶や雪などの氷相を経て成長する降水過程である。過冷却水滴と氷粒子の飽和水蒸気圧の差が成長を促す。
凝結熱,一般知識,1,凝結熱は、水蒸気が液体の水へ変化するときに放出される潜熱である。飽和空気塊の上昇時の冷却を弱め、対流の発達にも寄与する。
切離低気圧,一般知識,1,切離低気圧は、偏西風帯のトラフから切り離された上層低気圧である。動きが遅く、天候不順が長引くことがある。
吸収帯,一般知識,1,吸収帯は、気体などが特定の波長範囲の放射を強く吸収する領域である。温室効果気体ごとに吸収する波長帯が異なる。
国際標準大気,一般知識,1,国際標準大気は、気温や気圧などの高度分布を標準化した仮想大気である。航空機の高度計算や観測値の比較に用いられる。
地区防災計画,一般知識,1,地区防災計画は、市町村内の一定地区の居住者や事業者が共同で行う防災活動の計画である。住民等は市町村地域防災計画へ定めることを提案できる。
地球放射,一般知識,1,地球放射は、地表面や大気がその温度に応じて放出する長波放射である。温室効果や地球の放射収支を考える基礎となる。
外出流,一般知識,1,外出流は、積乱雲の下降流が地表へ達して水平方向に広がる冷たい空気の流れである。その先端にはガストフロントが形成される。
寒帯前線ジェット気流,一般知識,1,寒帯前線ジェット気流は、中高緯度の強い南北温度傾度に対応するジェット気流である。蛇行や強弱が温帯低気圧の発達に関係する。
対流混合層,一般知識,1,対流混合層は、日射で加熱された地表面からの対流によってよく混合された層である。日中に発達し、温位や風が鉛直にほぼ一様となる。
接地逆転層,一般知識,1,接地逆転層は、地表面付近で高度とともに気温が上昇する層である。晴れて風の弱い夜間の放射冷却で形成されやすい。
放射霧,一般知識,1,放射霧は、晴れて風の弱い夜間に地表面が放射冷却し、接地気層が冷却されて生じる霧である。内陸の低地などで発生しやすい。
暖気移流,一般知識,1,暖気移流は、風によって高温の空気が流入し、ある地点の気温を上げる向きに働く輸送である。温帯低気圧の前面などで上昇流と結び付くことが多い。
最大風速,一般知識,1,最大風速は、通常10分間平均風速の最大値である。台風の強さや暴風域の判定に用いられる。
有効位置エネルギー,一般知識,1,有効位置エネルギーは、大気の水平温度差に蓄えられ、運動エネルギーへ変換可能な位置エネルギーである。温帯低気圧の発達では減少しながら運動エネルギーへ変換される。
比湿,一般知識,1,比湿は、湿潤空気全体の質量に対する水蒸気の質量の比である。混合比とは分母の定義が異なる。
気塊,一般知識,1,気塊は、水平方向に広く、気温や湿度が比較的一様な空気の集まりである。形成地域の性質に応じて寒気・暖気、乾燥・湿潤などの特徴をもつ。
気象レーダー,一般知識,1,気象レーダーは、電波を送信し降水粒子などからの反射波を受信して降水を観測する装置である。反射強度から降水の分布や強さを推定する。
気象予報士名簿,一般知識,1,気象予報士名簿は、気象予報士として登録された者の氏名などを記載する名簿である。試験合格だけではなく、この名簿への登録によって気象予報士となる。
水平収束,一般知識,1,水平収束は、水平方向の風によって空気が一つの領域へ集まることをいう。下層の水平収束は上昇流や雲・降水の形成に結び付きやすい。
